code,subject,number,title,credits_min,credits_max,level,school,section_count
SOAD-S 559,SOAD,559,MFA GRAPHIC DESIGN SEMINAR,3.0,3.0,500,School of Art and Design (SOAD),3
SOAD-S 560,SOAD,560,GRADUATE TOPICS IN CERAMICS,1.0,3.0,500,School of Art and Design (SOAD),2
SOAD-S 561,SOAD,561,GRADUATE CERAMICS,3.0,3.0,500,School of Art and Design (SOAD),1
SOAD-S 568,SOAD,568,GRADUATE HISTORY OF CERAMICS,3.0,3.0,500,School of Art and Design (SOAD),1
SOAD-S 569,SOAD,569,MFA CERAMICS SEMINAR,3.0,3.0,500,School of Art and Design (SOAD),3
SOAD-S 570,SOAD,570,GRADUATE TOPICS IN SCULPTURE,1.0,3.0,500,School of Art and Design (SOAD),1
SOAD-S 571,SOAD,571,GRADUATE SCULPTURE,3.0,3.0,500,School of Art and Design (SOAD),1
SOAD-S 579,SOAD,579,GRADUATE SCULPTURE SEMINAR,3.0,3.0,500,School of Art and Design (SOAD),3
SOAD-S 580,SOAD,580,GRAD TOPICS METAL/JEWELRY DES,1.0,3.0,500,School of Art and Design (SOAD),1
SOAD-S 581,SOAD,581,GRAD METALS AND JEWELRY DESIGN,3.0,3.0,500,School of Art and Design (SOAD),1
SOAD-S 589,SOAD,589,MFA METALS & JEWELRY DES SEM,3.0,3.0,500,School of Art and Design (SOAD),3
SOAD-S 590,SOAD,590,GRADUATE TOPICS IN PHOTOGRAPHY,1.0,3.0,500,School of Art and Design (SOAD),1
SOAD-S 591,SOAD,591,GRADUATE PHOTOGRAPHY,3.0,3.0,500,School of Art and Design (SOAD),1
SOAD-S 599,SOAD,599,MFA PHOTOGRAPHY SEMINAR,3.0,3.0,500,School of Art and Design (SOAD),3
SOAD-S 600,SOAD,600,FABRICATION TOOLS AND TECH,3.0,3.0,600,School of Art and Design (SOAD),1
SOAD-S 710,SOAD,710,DIGITAL ART ADV STUDIO PRJCTS,1.0,6.0,700,School of Art and Design (SOAD),1
SOAD-S 720,SOAD,720,FIBERS ADV STUDIO PROJECTS,1.0,6.0,700,School of Art and Design (SOAD),1
SOAD-S 730,SOAD,730,PAINTING ADV STUDIO PROJECTS,1.0,12.0,700,School of Art and Design (SOAD),1
SOAD-S 740,SOAD,740,PRINTMAKING ADV STUDIO PROJECT,1.0,6.0,700,School of Art and Design (SOAD),1
SOAD-S 750,SOAD,750,GRAPHIC DESIGN ADV STUDIO PROJ,1.0,6.0,700,School of Art and Design (SOAD),1
SOAD-S 760,SOAD,760,CERAMICS ADV STUDIO PROJECTS,1.0,6.0,700,School of Art and Design (SOAD),1
SOAD-S 770,SOAD,770,SCULPTURE ADV STUDIO PROJECTS,1.0,6.0,700,School of Art and Design (SOAD),1
SOAD-S 780,SOAD,780,METAL & JWLRY ADV STUDIO PROJS,1.0,6.0,700,School of Art and Design (SOAD),1
SOAD-S 790,SOAD,790,PHOTOGRAPHY ADV STUDIO PROJECT,1.0,6.0,700,School of Art and Design (SOAD),1
SOAD-S 810,SOAD,810,MFA THESIS IN DIGITAL ART,4.0,4.0,800,School of Art and Design (SOAD),1
SOAD-S 820,SOAD,820,MFA THESIS IN FIBERS,4.0,4.0,800,School of Art and Design (SOAD),1
SOAD-S 830,SOAD,830,MFA THESIS IN PAINTING,4.0,4.0,800,School of Art and Design (SOAD),1
SOAD-S 840,SOAD,840,MFA THESIS IN PRINTMAKING,4.0,4.0,800,School of Art and Design (SOAD),1
SOAD-S 850,SOAD,850,MFA THESIS IN GRAPHIC DESIGN,4.0,4.0,800,School of Art and Design (SOAD),1
SOAD-S 860,SOAD,860,MFA THESIS IN CERAMICS,4.0,4.0,800,School of Art and Design (SOAD),1
SOAD-S 870,SOAD,870,MFA THESIS IN SCULPTURE,4.0,4.0,800,School of Art and Design (SOAD),1
SOAD-S 880,SOAD,880,MFA THESIS METALSM & JEWEL DES,4.0,4.0,800,School of Art and Design (SOAD),1
SOAD-S 890,SOAD,890,MFA THESIS IN PHOTOGRAPHY,4.0,4.0,800,School of Art and Design (SOAD),1
SOAD-U 400,SOAD,400,BFA FINAL REVIEW,0.0,0.0,400,School of Art and Design (SOAD),1
SOAD-U 402,SOAD,402,TECHNICAL RESOURCES STUDIO ART,1.0,1.0,400,School of Art and Design (SOAD),2
SOAD-U 450,SOAD,450,INDEPENDENT STUDIO PROJECTS,1.0,3.0,400,School of Art and Design (SOAD),1
SOAD-U 695,SOAD,695,ART+DESIGN FUTURE FACULTY SEM,3.0,3.0,600,School of Art and Design (SOAD),1
SOAD-U 700,SOAD,700,ADVANCED STUDIO PROJECTS,1.0,12.0,700,School of Art and Design (SOAD),3
SOAD-W 200,SOAD,200,DESIGN PRACTICE,3.0,3.0,200,School of Art and Design (SOAD),1
SOAD-W 300,SOAD,300,DESIGN IN CONTEXT AND CULTURE,3.0,3.0,300,School of Art and Design (SOAD),1
SOAD-W 400,SOAD,400,DESIGN CAPSTONE,3.0,3.0,400,School of Art and Design (SOAD),2
SOAD-W 500,SOAD,500,DESIGN ETHICS,3.0,3.0,500,School of Art and Design (SOAD),1
SOAD-W 525,SOAD,525,DESIGN THINKING AND STRATEGY,3.0,3.0,500,School of Art and Design (SOAD),1
SOAD-W 600,SOAD,600,PROJECT STUDIO 1,6.0,6.0,600,School of Art and Design (SOAD),1
SOAD-X 371,SOAD,371,TEACHING INTERNSHIP IN SOAD,1.0,3.0,300,School of Art and Design (SOAD),1
SOAD-X 373,SOAD,373,INTERNSHIP IN PROF PRACTICE,1.0,3.0,300,School of Art and Design (SOAD),2
SOAD-X 376,SOAD,376,PRACTICUM IN RETAIL INDUSTRY,1.0,3.0,300,School of Art and Design (SOAD),1
SOAD-X 476,SOAD,476,PRACTICUM-COLLECTION MGMT,1.0,3.0,400,School of Art and Design (SOAD),1
SOAD-X 490,SOAD,490,INDEPNDT STUDY: INTERIOR DESIGN,1.0,3.0,400,School of Art and Design (SOAD),1
SOAD-X 491,SOAD,491,IND STUDY: TEXTILES & APPAREL,1.0,3.0,400,School of Art and Design (SOAD),1
SOAD-X 492,SOAD,492,INDEPENDENT STUDY IN RETAIL,1.0,3.0,400,School of Art and Design (SOAD),1
SOAD-Z 501,SOAD,501,ARCHITECTURAL STUDIO 1,6.0,6.0,500,School of Art and Design (SOAD),1
