class_number,course_code,component,status,topic,capacity,available,waitlist,delivery_mode,instructors,days,start,end,building,room
32901,EALC-E 350,LEC,CLOSED,"SOCIOLINGUISTICS, E ASIAN LANG",6,0,1,IN_PERSON,Takeuchi J,TUTH,15:55,17:10,GA,0009
32902,EALC-E 505,LEC,CLOSED,SOCIOLNGSTCS E ASIAN LANGUAGES,16,0,0,IN_PERSON,Takeuchi J,TUTH,15:55,17:10,GA,0009
32906,EALC-E 233,LEC,OPEN,,35,6,0,IN_PERSON,Burge R,TUTH,09:35,10:50,ED,2101
32908,EALC-K 527,DRL,OPEN,,13,11,0,IN_PERSON,Lu Y,MOWEFR,15:10,16:00,BH,315
32909,EDUC-A 720,LEC,CLOSED,,1,0,0,,Moore M,,,,ARR,
32916,CHEM-C 127,LAB,CLOSED,,28,0,4,IN_PERSON,Bhatia R,TU,15:00,18:00,CH,047
32918,CHEM-C 127,LAB,CLOSED,,28,0,0,IN_PERSON,Zhao C,WE,16:10,19:10,CH,047
3292,PHYS-P 202,LAB,CLOSED,,24,0,9,IN_PERSON,Warren G; Evans H,MO,13:55,15:50,SW,113
32920,CHEM-C 127,LAB,CLOSED,,28,0,1,IN_PERSON,Du J,TH,08:00,11:00,CH,049
32925,HON-H 304,LEC,CLOSED,COMPARATIVE FOREIGN POLICY,64,0,0,IN_PERSON,Spechler D,TUTH,12:45,14:00,WH,111
32926,HON-H 304,LEC,CLOSED,RUSSIAN & SOVIET FOREIGN POL,32,0,0,IN_PERSON,Spechler D,TUTH,15:55,17:10,WH,109
32927,EALC-E 352,LEC,OPEN,"KOREA, THE WEST: CONFLCT, RFRM",35,25,0,IN_PERSON,Burge R,TUTH,12:45,14:00,LI,026
3293,LSTU-L 110,LEC,OPEN,,20,6,0,,Linner P,,,,WB,WEB
32944,GNDR-G 700,LEC,CLOSED,,10,0,0,IN_PERSON,Hille J,TU,14:30,17:00,LH,328
32945,GNDR-G 402,LEC,CLOSED,SEXUAL GNDRS GNDERED SEXUALITY,3,0,0,IN_PERSON,Hille J,TU,14:30,17:00,LH,328
3295,OVST-R 497,LEC,OPEN,,40,38,0,,Carty S,,,,ARR,
3296,OVST-R 498,LEC,OPEN,,40,40,0,,Carty S,,,,ARR,
3298,OVST-O 499,LEC,OPEN,,20,20,0,,Carty S,,,,ARR,
3299,OVST-D 396,LEC,OPEN,,25,22,0,,Carty S,,,,ARR,
32999,EDUC-P 507,LEC,CLOSED,,26,0,0,ONLINE,Yoder G,,,,OL,ONLINE
3300,SWK-S 442,LEC,OPEN,PRAC: CHILDREN AND FAMILIES,30,2,0,,Terry M,,,,WB,WEB
3301,SPEA-E 452,LEC,OPEN,,30,13,0,IN_PERSON,Howard R,MOWE,18:30,19:45,PV,278
3302,MUS-I 202,LEC,OPEN,,60,53,0,,Shaw B,,,,WB,WEB
33032,HIST-T 541,LEC,CLOSED,,15,0,0,ONLINE,Froysland H,,,,OL,ONLINE
3304,SLHS-A 600,LEC,OPEN,,1,1,0,IN_PERSON,Smith L,MOWE,12:45,14:00,BH,330
33043,HIST-T 560,LEC,OPEN,,15,1,0,ONLINE,Nashel J,,,,OL,ONLINE
3305,SLHS-A 700,LEC,OPEN,,1,1,0,IN_PERSON,Kochan S,TUTH,11:10,12:25,BH,227
33055,GER-T 560,LEC,OPEN,,20,4,0,ONLINE,Spafford A,,,,OL,ONLINE
3306,THTR-T 347,LEC,OPEN,,10,2,0,IN_PERSON,Hopson A,MOWE,09:35,10:50,TH,A002
33066,ENG-L 503,LEC,CLOSED,,20,0,1,ONLINE,Sickmann C,,,,OL,ONLINE
3307,CHEM-C 830,LEC,OPEN,,60,39,0,,Bloch E,,,,ARR,
3309,EDUC-Y 500,LEC,OPEN,,18,18,0,IN_PERSON,Qiu Y,TU,09:10,10:00,ED,1204
3311,BUS-S 400,LEC,OPEN,,5,3,0,IN_PERSON,Yang H,TUTH,15:55,17:10,HH,4006
3312,BUS-G 345,LEC,CLOSED,,50,0,5,IN_PERSON,Marchionne F,MOWE,15:55,17:10,HH,3006
3313,BUS-F 303,LEC,CLOSED,,50,0,11,IN_PERSON,Da R,MOWE,11:10,12:25,HH,2000
3314,BUS-R 305,LEC,OPEN,,40,1,0,IN_PERSON,McCoy D,MOWE,08:00,09:15,HH,1050
3315,BUS-F 304,LEC,CLOSED,,0,0,0,IN_PERSON,Martel J,MOWE,08:20,09:35,HH,4000
3316,BUS-J 304,LEC,CLOSED,,0,0,0,IN_PERSON,Fairchild A,MOWE,09:45,11:00,HH,4000
3317,BUS-M 304,LEC,CLOSED,,0,0,0,IN_PERSON,Fossen B,TUTH,09:45,11:00,HH,4000
3318,BUS-P 304,LEC,CLOSED,,0,0,0,IN_PERSON,Niewoehner R,TUTH,08:20,09:35,HH,4000
